ID	Name	Pathways	Reactions	
G1FV3-30612	YALI0A04675g		1D-<i>myo</i>-inositol 1-diphosphate 2,3,4,5,6-pentakisphosphate + H<sub>2</sub>O  =  phytate + phosphate + H<SUP>+</SUP>, 1D-<i>myo</i>-inositol 3-diphosphate 1,2,4,5,6-pentakisphosphate + H<sub>2</sub>O  =  phytate + phosphate + 2 H<SUP>+</SUP>, 1D-<i>myo</i>-inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate + H<sub>2</sub>O  =  1D-<i>myo</i>-inositol 1-diphosphate 2,3,4,5,6-pentakisphosphate + phosphate + H<SUP>+</SUP>, a diphospho-1D-myo-inositol tetrakisphosphate + H<sub>2</sub>O  =  D-<i>myo</i>-inositol 1,3,4,5,6-pentakisphosphate + phosphate + H<SUP>+</SUP>, 1D-<i>myo</i>inositol 5-diphosphate 1,2,3,4,6-pentakisphosphate + H<sub>2</sub>O  =  phytate + phosphate + H<SUP>+</SUP>, 1D-<i>myo</i>-inositol 1,5-bis(diphosphate) 2,3,4,6-tetrakisphosphate + H<sub>2</sub>O  =  1D-<i>myo</i>inositol 5-diphosphate 1,2,3,4,6-pentakisphosphate + phosphate + H<SUP>+</SUP>, 3,5-bisdiphosphoinositol-1D-<i>myo</i>-inositol 2,3,4,6-tetrakisphosphate + H<sub>2</sub>O  =  1D-<i>myo</i>-inositol 3-diphosphate 1,2,4,5,6-pentakisphosphate + phosphate, a pyrophosphate-containing inositol phosphate + H<sub>2</sub>O  =  a <i>myo</i>-inositol-polyphosphate + phosphate	
G1FV3-30625	YALI0A04983g	icosapentaenoate biosynthesis II (6-desaturase, mammals), juniperonate biosynthesis, sciadonate biosynthesis, arachidonate biosynthesis I (6-desaturase, lower eukaryotes), docosahexaenoate biosynthesis III (6-desaturase, mammals), very long chain fatty acid biosynthesis II, very long chain fatty acid biosynthesis I	trans-lesqueroloyl-CoA + NADPH + H<SUP>+</SUP>  =  lesqueroloyl-CoA + NADP<sup>+</sup>, (2E,8Z,11Z,14Z,17Z)-icosa-2,8,11,14,17-pentaenoyl-CoA + a reduced electron acceptor  &rarr;  (8Z,11Z,14Z,17Z)-icosa-8,11,14,17-tetraenoyl-CoA + an oxidized electron acceptor, (2E,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA + a reduced electron acceptor  &rarr;  docosapentaenoyl-CoA + an oxidized electron acceptor, (2E,11Z,17Z)-14R-hydroxy-icosa-11,17-trienoyl-CoA + NADPH + H<SUP>+</SUP>  &rarr;  auricoloyl-CoA + NADP<sup>+</sup>, icosatrienoyl-2-enoyl CoA + NADH + H<SUP>+</SUP>  &rarr;  (11Z,14Z,17Z)-icosa-11,14,17-trienoyl-CoA + NAD<sup>+</sup>, (2E, 11Z,14Z)-icosa-2,11,14-trienoyl-CoA + NADPH + H<SUP>+</SUP>  &rarr;  (11Z,14Z)-icosa-11,14-dienoyl-CoA + NADP<sup>+</sup>, <i>trans</i>-docos-2-enoyl-CoA + NADPH + H<SUP>+</SUP>  &rarr;  docosanoyl-CoA + NADP<sup>+</sup>, <i>trans</i>-adre-2-enoyl-CoA + NADPH + H<SUP>+</SUP>  &rarr;  adrenoyl-CoA + NADP<sup>+</sup>, (2E,8Z,11Z,14Z)-icosatetraenoyl-CoA + NADH + H<SUP>+</SUP>  &rarr;  dihomo &gamma;-linolenoyl-CoA + NAD<sup>+</sup>, (2E,11Z)-icosa-2,11-dienoyl-CoA + NADPH + H<SUP>+</SUP>  =  (11Z)-icosenoyl-CoA + NADP<sup>+</sup>, <i>trans</i>-arachido-2-enoyl-CoA + NADPH + H<SUP>+</SUP>  &rarr;  icosanoyl-CoA + NADP<sup>+</sup>, (2E,9Z,12Z,15Z,18Z)-tetracosa-2,9,12,15,18-pentaenoyl-CoA + NADPH + H<SUP>+</SUP>  &rarr;  (9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA + NADP<sup>+</sup>, (2Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA + NADPH + H<SUP>+</SUP>  &rarr;  (9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA + NADP<sup>+</sup>, <i>trans</i>-cerot-2-enoyl-CoA + NADPH + H<SUP>+</SUP>  &rarr;  cerotoyl-CoA + NADP<sup>+</sup>, <i>trans</i>-lignocer-2-enoyl-CoA + NADPH + H<SUP>+</SUP>  &rarr;  lignoceroyl-CoA + NADP<sup>+</sup>, a very-long-chain <i>trans</i>-2,3-dehydroacyl-CoA + NADPH + H<SUP>+</SUP>  &rarr;  a very-long-chain 2,3,4-saturated fatty acyl CoA + NADP<sup>+</sup>	
G1FV3-30641	YALI0A05379g	4-aminobenzoate biosynthesis	chorismate + L-glutamine  &rarr;  4-amino-4-deoxychorismate + L-glutamate	
G1FV3-30685	YALI0A06589g			
G1FV3-30689	YALI0A06655g		a long-chain fatty acid<sub>[periplasm]</sub> + ATP + H<sub>2</sub>O  &rarr;  a long-chain fatty acid<sub>[cytosol]</sub> + ADP + phosphate	
G1FV3-30696	YALI0A06787g	sciadonate biosynthesis, icosapentaenoate biosynthesis II (6-desaturase, mammals), juniperonate biosynthesis, arachidonate biosynthesis I (6-desaturase, lower eukaryotes), docosahexaenoate biosynthesis III (6-desaturase, mammals), very long chain fatty acid biosynthesis II, very long chain fatty acid biosynthesis I	17&beta;-estradiol + NAD(P)<sup>+</sup>  =  estrone + NAD(P)H + H<SUP>+</SUP>, 3-oxoicosanoyl-CoA + NADPH + H<SUP>+</SUP>  &rarr;  (3<i>R</i>)-3-hydroxy-arachidoyl-CoA + NADP<sup>+</sup>, 3-oxo-(11Z,14Z)-icosa-11,14-dienoyl-CoA + NADPH + H<SUP>+</SUP>  &rarr;  (3R)-hydroxy-(11Z,14Z)-icosa-11,14-dienoyl-CoA + NADP<sup>+</sup>, 3-oxo-icosatetraenoyl-CoA + NAD(P)H + H<SUP>+</SUP>  &rarr;  (8Z,11Z,14Z,17Z)-3-hydroxy-icosa-8,11,14,17-tetraenoyl-CoA + NAD(P)<sup>+</sup>, 3-oxo-tetracosapentaenoyl-CoA + NADPH + H<SUP>+</SUP>  &rarr;  (3R)-hydroxy-tetracosapentaenoyl-CoA + NADP<sup>+</sup>, 3-oxo-tetracosatetraenoyl-CoA + NADPH + H<SUP>+</SUP>  &rarr;  (3R)-hydroxy-tetracosatetraenoyl-CoA + NADP<sup>+</sup>, 3-oxo-icosatrienoyl-CoA + NAD(P)H + H<SUP>+</SUP>  &rarr;  3R-hydroxy-icosatrienoyl-CoA + NAD(P)<sup>+</sup>, 3R-hydroxy-lesqueroloyl-CoA + NADP<sup>+</sup>  =  3-oxo-lesqueroloyl-CoA + NADPH + H<SUP>+</SUP>, 3-oxo-dihomo &gamma;-linolenoyl-CoA + NAD(P)H + H<SUP>+</SUP>  &rarr;  3R-hydroxy-dihomo &gamma;-linolenoyl-CoA + NAD(P)<sup>+</sup>, 3-oxo-auricoloyl-CoA + NADPH + H<SUP>+</SUP>  &rarr;  (3R)-hydroxy-auricoloyl-CoA + NADP<sup>+</sup>, 3-oxo-docosapentaenoyl-CoA + NAD(P)H + H<SUP>+</SUP>  &rarr;  (5Z,8Z,11Z,14Z,17Z)-3R-hydroxy-docosapentaenoyl-CoA + NAD(P)<sup>+</sup>, 3-oxo-lignoceroyl-CoA + NADPH + H<SUP>+</SUP>  &rarr;  (3<i>R</i>)-3-hydroxy-lignoceroyl-CoA + NADP<sup>+</sup>, 3-oxo-cerotoyl-CoA + NADPH + H<SUP>+</SUP>  &rarr;  (3<i>R</i>)-3-hydroxy-cerotoyl-CoA + NADP<sup>+</sup>, 3-oxo-behenoyl-CoA + NADPH + H<SUP>+</SUP>  &rarr;  (3<i>R</i>)-3-hydroxy-behenoyl-CoA + NADP<sup>+</sup>, a very-long-chain oxoacyl-CoA + NADPH + H<SUP>+</SUP>  &rarr;  a very-long-chain (3<i>R</i>)-3-hydroxyacyl-CoA + NADP<sup>+</sup>, 3R-hydroxy-(11Z)-eicos-11-enoyl-CoA + NADP<sup>+</sup>  =  3-oxo-(11Z)-eicos-11-enoyl-CoA + NADPH + H<SUP>+</SUP>, (3R)-hydroxy-adrenoyl-CoA + NADP<sup>+</sup>  =  3-oxo adrenoyl-CoA + NADPH + H<SUP>+</SUP>	
G1FV3-30703	YALI0A06974g			
G1FV3-30727	YALI0A07579g			
G1FV3-30746	YALI0A08041g		a nucleoside cyclic 3',5'-monophosphate + H<sub>2</sub>O  &rarr;  a nucleoside 5'-monophosphate + H<SUP>+</SUP>	
G1FV3-30755	YALI0A08217g	guanosine nucleotides degradation II, UTP and CTP dephosphorylation I	&beta;-nicotinamide D-ribonucleotide + H<sub>2</sub>O  &rarr;  1-(&beta;-D ribofuranosyl)nicotinamide + phosphate, XMP + H<sub>2</sub>O  &rarr;  xanthosine + phosphate, IMP + H<sub>2</sub>O  &rarr;  inosine + phosphate, UMP + H<sub>2</sub>O  &rarr;  uridine + phosphate, AMP + H<sub>2</sub>O  &rarr;  adenosine + phosphate, a ribonucleoside 5'-monophosphate + H<sub>2</sub>O  &rarr;  a ribonucleoside + phosphate, GMP + H<sub>2</sub>O  &rarr;  guanosine + phosphate, &beta;-nicotinate D-ribonucleotide + H<sub>2</sub>O  &rarr;  &beta;-D-ribosylnicotinate + phosphate, CMP + H<sub>2</sub>O  &rarr;  cytidine + phosphate	
G1FV3-30775	YALI0A08668g	pyridoxal 5'-phosphate salvage I, 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis (yeast)	pyridoxal + ATP  &rarr;  pyridoxal 5'-phosphate + ADP + H<SUP>+</SUP>, ATP + pyridoxamine  &rarr;  ADP + pyridoxamine 5'-phosphate + H<SUP>+</SUP>, ATP + pyridoxine  &rarr;  ADP + pyridoxine 5'-phosphate + H<SUP>+</SUP>	
G1FV3-30777	YALI0A08734g			
G1FV3-30791	YALI0A09042g			
G1FV3-30807	YALI0A09427g	tRNA charging	a tRNA<SUP>Thr</SUP> + L-threonine + ATP  &rarr;  an L-threonyl-[tRNA<SUP>Thr</SUP>] + AMP + diphosphate	
G1FV3-30817	YALI0A09636g		<i>S</i>-adenosyl-L-methionine + nicotinamide  &rarr;  <i>S</i>-adenosyl-L-homocysteine + 1-methylnicotinamide	
G1FV3-30828	YALI0A09856g	glycine cleavage, glycine biosynthesis II	glycine + a [glycine-cleavage complex H protein] <i>N<sup>6</sup></i>-lipoyl-L-lysine + H<SUP>+</SUP>  &harr;  a [glycine-cleavage complex H protein] <i>N<sup>6</sup></i>-aminomethyldihydrolipoyl-L-lysine + CO<SUB>2</SUB>	
G1FV3-30830	YALI0A09900g	adenosine ribonucleotides <i>de novo</i> biosynthesis	ADP + phosphate + 4 H<SUP>+</SUP><sub>[out]</sub>  &harr;  ATP + H<sub>2</sub>O + 3 H<SUP>+</SUP><sub>[in]</sub>	
G1FV3-30837	YALI0A10032g	tetrahydrofolate biosynthesis	L-glutamate + 7,8-dihydropteroate + ATP  &rarr;  ADP + 7,8-dihydrofolate monoglutamate + phosphate + H<SUP>+</SUP>	
G1FV3-30839	YALI0A10076g	epoxysqualene biosynthesis	2 (2<i>E</i>,6<i>E</i>)-farnesyl diphosphate + NAD(P)H + H<SUP>+</SUP>  &rarr;  squalene + NAD(P)<sup>+</sup> + 2 diphosphate, 2 (2<i>E</i>,6<i>E</i>)-farnesyl diphosphate  &rarr;  presqualene diphosphate + diphosphate, presqualene diphosphate + NAD(P)H + H<SUP>+</SUP>  &rarr;  squalene + NAD(P)<sup>+</sup> + diphosphate	
G1FV3-30850	YALI0A10310g	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	GTP + H<sub>2</sub>O  &rarr;  formate + 7,8-dihydroneopterin 3'-triphosphate + H<SUP>+</SUP>	
G1FV3-30868	YALI0A10659g			
G1FV3-30888	YALI0A11143g		ATP + H<SUP>+</SUP><sub>[periplasm]</sub> + H<sub>2</sub>O  &rarr;  ADP + phosphate + H<SUP>+</SUP><sub>[cytosol]</sub>	
G1FV3-30922	YALI0A12045g	flavin biosynthesis III (fungi)	5-amino-6-(D-ribitylamino)uracil + 1-deoxy-L-glycero-tetrulose 4-phosphate  &rarr;  6,7-dimethyl-8-(1-D-ribityl)lumazine + phosphate + H<SUP>+</SUP> + 2 H<sub>2</sub>O	
G1FV3-30935	YALI0A12353g	formate oxidation to CO<sub>2</sub>	formate + NAD<sup>+</sup>  &rarr;  CO<SUB>2</SUB> + NADH	
G1FV3-30976	YALI0A13387g	L-asparagine biosynthesis I, L-glutamine degradation I, L-asparagine biosynthesis II	L-glutamine + L-aspartate + ATP + H<sub>2</sub>O  &rarr;  L-glutamate + L-asparagine + AMP + diphosphate + H<SUP>+</SUP>, L-glutamine + H<sub>2</sub>O  &rarr;  L-glutamate + ammonium, L-aspartate + ammonium + ATP  &rarr;  L-asparagine + AMP + diphosphate + H<SUP>+</SUP>	
G1FV3-31002	YALI0A14157g	cardiolipin biosynthesis II, phosphatidylglycerol biosynthesis II (non-plastidic)	phosphatidylglycerophosphate (1-octadecenoyl(9Z), 2-palmitoyl) + H<sub>2</sub>O  &rarr;  1-oleoyl-2-palmitoyl-phosphatidylglycerol + phosphate, 1-(3-<i>sn</i>-phosphatidyl)-<i>sn</i>-glycerol 3-phosphate + H<sub>2</sub>O  &rarr;  an L-1-phosphatidyl-<i>sn</i>-glycerol + phosphate	
G1FV3-31004	YALI0A14212g			
G1FV3-31015	YALI0A14498g		1,2-dihydroxy-5-(methylthio)pent-1-en-3-one + oxygen  &rarr;  3-(methylthio)propanoate + formate + carbon monoxide + H<SUP>+</SUP>, 1,2-dihydroxy-5-(methylthio)pent-1-en-3-one + oxygen  &rarr;  4-(methylthio)-2-oxobutanoate + formate + H<SUP>+</SUP>	
G1FV3-31027	YALI0A14784g	TCA cycle III (animals), aerobic respiration I (cytochrome c), aerobic respiration II (cytochrome c) (yeast), TCA cycle variation III (eukaryotic)	succinate<SUB>[in]</SUB> + an electron-transfer quinone<SUB>[membrane]</SUB>  &rarr;  fumarate<SUB>[in]</SUB> + an electron-transfer quinol<SUB>[membrane]</SUB>, succinate<SUB>[in]</SUB> + caldariellaquinone<SUB>[membrane]</SUB>  &rarr;  fumarate<SUB>[in]</SUB> + caldariellaquinol<SUB>[membrane]</SUB>, succinate<SUB>[in]</SUB> + a ubiquinone<SUB>[out]</SUB>  &rarr;  fumarate<SUB>[in]</SUB> + an ubiquinol<SUB>[out]</SUB>	
G1FV3-31028	YALI0A14806g		a mitochondrial preprotein including a mitochondrial targeting sequence + H<sub>2</sub>O  &rarr;  a fully-processed mitochondrial protein + a peptide	
G1FV3-31041	YALI0A15125g		phosphate<sub>[periplasm]</sub> + H<SUP>+</SUP><sub>[periplasm]</sub>  &rarr;  phosphate<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>	
G1FV3-31042	YALI0A15147g	chitin degradation to ethanol, pyruvate fermentation to ethanol II, ethanol degradation II, L-methionine degradation III, phenylethanol biosynthesis, L-phenylalanine degradation III, L-tyrosine degradation III, phytol degradation, L-isoleucine degradation II, L-leucine degradation III	butan-1-ol + NAD<sup>+</sup>  &harr;  butan-1-al + NADH + H<SUP>+</SUP>, ethanol + NAD<sup>+</sup>  &harr;  acetaldehyde + NADH + H<SUP>+</SUP>, a primary alcohol + NAD<sup>+</sup>  =  an aldehyde + NADH + H<SUP>+</SUP>, 3-methylthiopropanal + NADH + H<SUP>+</SUP>  &rarr;  methionol + NAD<sup>+</sup>, 5-hydroxytryptophol + NAD<sup>+</sup>  =  5-hydroxyindole acetaldehyde + NADH + H<SUP>+</SUP>, 3-methoxy-4-hydroxyphenylglycol + NAD<sup>+</sup>  &harr;  3-methoxy-4-hydroxyphenylglycolaldehyde + NADH + H<SUP>+</SUP>, phenylacetaldehyde + NADH + H<SUP>+</SUP>  &rarr;  2-phenylethanol + NAD<sup>+</sup>, (4-hydroxyphenyl)acetaldehyde + NADH + H<SUP>+</SUP>  &rarr;  4-tyrosol + NAD<sup>+</sup>, propan-1-ol + NAD<sup>+</sup>  =  1-propanal + NADH + H<SUP>+</SUP>, phytol + NAD<sup>+</sup>  &rarr;  phytenal + NADH + H<SUP>+</SUP>, a secondary alcohol + NAD<sup>+</sup>  &harr;  a ketone + NADH + H<SUP>+</SUP>, 2-methylbutanal + NADH + H<SUP>+</SUP>  &rarr;  2-methylbutanol + NAD<sup>+</sup>, isobutanol + NAD<sup>+</sup>  &harr;  isobutanal + NADH + H<SUP>+</SUP>, 3,4-dihydroxyphenylglycol + NAD<sup>+</sup>  =  3,4-dihydroxyphenylglycolaldehyde + NADH + H<SUP>+</SUP>, 3-methylbutanol + NAD<sup>+</sup>  &harr;  3-methylbutanal + NADH + H<SUP>+</SUP>, indole-3-glycol + NAD<sup>+</sup>  =  indole-3-glycol aldehyde + NADH + H<SUP>+</SUP>	
G1FV3-31060	YALI0A15576g			
G1FV3-31073	YALI0A15906g			
G1FV3-31075	YALI0A15950g	L-histidine biosynthesis	1-(5-phospho-&beta;-D-ribosyl)-ATP + H<sub>2</sub>O  &rarr;  1-(5-phospho-&beta;-D-ribosyl)-AMP + diphosphate + 2 H<SUP>+</SUP>, 1-(5-phospho-&beta;-D-ribosyl)-AMP + H<sub>2</sub>O  &rarr;  1-(5-phospho-&beta;-D-ribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide, histidinol + 2 NAD<sup>+</sup> + H<sub>2</sub>O  &rarr;  L-histidine + 2 NADH + 3 H<SUP>+</SUP>, histidinol + NAD<sup>+</sup>  &harr;  histidinal + NADH + H<SUP>+</SUP>, histidinal + NAD<sup>+</sup> + H<sub>2</sub>O  &rarr;  L-histidine + NADH + 2 H<SUP>+</SUP>	
G1FV3-31076	YALI0A15972g	gluconeogenesis I, glycolysis I (from glucose 6-phosphate), glycolysis I	fructose 1,6-bisphosphate + H<sub>2</sub>O  &rarr;  &beta;-D-fructofuranose 6-phosphate + phosphate	
G1FV3-31093	YALI0A16379g	chitin degradation to ethanol, pyruvate fermentation to ethanol II, ethanol degradation II, L-methionine degradation III, phenylethanol biosynthesis, L-phenylalanine degradation III, L-tyrosine degradation III, phytol degradation, L-isoleucine degradation II, L-leucine degradation III	butan-1-ol + NAD<sup>+</sup>  &harr;  butan-1-al + NADH + H<SUP>+</SUP>, ethanol + NAD<sup>+</sup>  &harr;  acetaldehyde + NADH + H<SUP>+</SUP>, a primary alcohol + NAD<sup>+</sup>  =  an aldehyde + NADH + H<SUP>+</SUP>, 3-methylthiopropanal + NADH + H<SUP>+</SUP>  &rarr;  methionol + NAD<sup>+</sup>, 5-hydroxytryptophol + NAD<sup>+</sup>  =  5-hydroxyindole acetaldehyde + NADH + H<SUP>+</SUP>, 3-methoxy-4-hydroxyphenylglycol + NAD<sup>+</sup>  &harr;  3-methoxy-4-hydroxyphenylglycolaldehyde + NADH + H<SUP>+</SUP>, phenylacetaldehyde + NADH + H<SUP>+</SUP>  &rarr;  2-phenylethanol + NAD<sup>+</sup>, (4-hydroxyphenyl)acetaldehyde + NADH + H<SUP>+</SUP>  &rarr;  4-tyrosol + NAD<sup>+</sup>, propan-1-ol + NAD<sup>+</sup>  =  1-propanal + NADH + H<SUP>+</SUP>, phytol + NAD<sup>+</sup>  &rarr;  phytenal + NADH + H<SUP>+</SUP>, a secondary alcohol + NAD<sup>+</sup>  &harr;  a ketone + NADH + H<SUP>+</SUP>, 2-methylbutanal + NADH + H<SUP>+</SUP>  &rarr;  2-methylbutanol + NAD<sup>+</sup>, isobutanol + NAD<sup>+</sup>  &harr;  isobutanal + NADH + H<SUP>+</SUP>, 3,4-dihydroxyphenylglycol + NAD<sup>+</sup>  =  3,4-dihydroxyphenylglycolaldehyde + NADH + H<SUP>+</SUP>, 3-methylbutanol + NAD<sup>+</sup>  &harr;  3-methylbutanal + NADH + H<SUP>+</SUP>, indole-3-glycol + NAD<sup>+</sup>  =  indole-3-glycol aldehyde + NADH + H<SUP>+</SUP>	
G1FV3-31106	YALI0A16698g		<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate  =  5-methylthioribulose 1-phosphate	
G1FV3-31113	YALI0A16863g		folate<sub>[periplasm]</sub> + H<SUP>+</SUP><sub>[periplasm]</sub>  &rarr;  folate<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>	
G1FV3-31139	YALI0A17468g	aerobic respiration I (cytochrome c), aerobic respiration II (cytochrome c) (yeast)	2 an oxidized <i>c</i>-type cytochrome<SUB>[out]</SUB> + an ubiquinol<SUB>[membrane]</SUB>  &rarr;  2 a reduced <i>c</i>-type cytochrome<SUB>[out]</SUB> + a ubiquinone<SUB>[membrane]</SUB> + 2 H<SUP>+</SUP><SUB>[out]</SUB>, 2 a reduced CycA1 cytochrome<SUB>[out]</SUB> + a ubiquinone<SUB>[membrane]</SUB> + 4 H<SUP>+</SUP><SUB>[in]</SUB>  &rarr;  2 an oxidized CycA1 cytochrome<SUB>[out]</SUB> + an ubiquinol<SUB>[membrane]</SUB> + 2 H<SUP>+</SUP><SUB>[out]</SUB>, 2 an oxidized <i>c</i>-type cytochrome<SUB>[out]</SUB> + a menaquinol<SUB>[membrane]</SUB>  &rarr;  2 a reduced <i>c</i>-type cytochrome<SUB>[out]</SUB> + a menaquinone<SUB>[membrane]</SUB> + 2 H<SUP>+</SUP><SUB>[in]</SUB>, 2 an oxidized <i>c</i>-type cytochrome<SUB>[out]</SUB> + an electron-transfer quinol<SUB>[membrane]</SUB>  &rarr;  2 a reduced <i>c</i>-type cytochrome<SUB>[out]</SUB> + an electron-transfer quinone<SUB>[membrane]</SUB> + 2 H<SUP>+</SUP><SUB>[in]</SUB>	
G1FV3-31167	YALI0A18062g	ergosterol biosynthesis I	ergosta-5,7,24(28)-trien-3&beta;-ol + a reduced [NADPH-hemoprotein reductase] + oxygen  &rarr;  ergosta-5,7,22,24(28)-tetraen-3-&beta;-ol + an oxidized [NADPH-hemoprotein reductase] + 2 H<sub>2</sub>O, sitosterol + a reduced [NADPH-hemoprotein reductase] + oxygen  &rarr;  stigmasterol + an oxidized [NADPH-hemoprotein reductase] + 2 H<sub>2</sub>O, 24-<i>epi</i>-campesterol + a reduced [NADPH-hemoprotein reductase] + oxygen  &rarr;  brassicasterol + an oxidized [NADPH-hemoprotein reductase] + 2 H<sub>2</sub>O	
G1FV3-31172	YALI0A18183g		choline<sub>[periplasm]</sub>  &rarr;  choline<sub>[cytosol]</sub>	
