GeneId	GeneName	RxnId	RxnName	RxnEqn
YALI0A04675g	YAL012W	y000092	6PP-IP5 depyrophosphorylation to IP6	6-diphospho-1D-myo-inositol pentakisphosphate[c] + H2O[c] <=> 2.0 H+[c] + myo-inositol hexakisphosphate[c] + phosphate[c]
YALI0A04983g	YAL022C	y002177	trans-2-enoyl-CoA reductase (n-C18:0CoA)	H+[erm] + NADPH[erm] + trans-octadec-2-enoyl-CoA[erm] --> stearoyl-CoA[erm] + NADP(+)[erm]
YALI0A04983g	YAL022C	y002175	trans-2-enoyl-CoA reductase (n-C14:0CoA)	H+[erm] + NADPH[erm] + trans-tetradec-2-enoyl-CoA[erm] --> myristoyl-CoA[erm] + NADP(+)[erm]
YALI0A04983g	YAL022C	y002179	trans-2-enoyl-CoA reductase (n-C22:0CoA)	H+[erm] + NADPH[erm] + trans-docos-2-enoyl-CoA[erm] --> docosanoyl-CoA[erm] + NADP(+)[erm]
YALI0A04983g	YAL022C	y002181	trans-2-enoyl-CoA reductase (n-C26:0CoA)	H+[erm] + NADPH[erm] + trans-hexacos-2-enoyl-CoA[erm] --> NADP(+)[erm] + hexacosanoyl-CoA[erm]
YALI0A04983g	YAL022C	y002178	trans-2-enoyl-CoA reductase (n-C20:0CoA)	H+[erm] + NADPH[erm] + trans-icos-2-enoyl-CoA[erm] --> icosanoyl-CoA[erm] + NADP(+)[erm]
YALI0A04983g	YAL022C	y002180	trans-2-enoyl-CoA reductase (n-C24:0CoA)	H+[erm] + NADPH[erm] + trans-tetracos-2-enoyl-CoA[erm] --> tetracosanoyl-CoA[erm] + NADP(+)[erm]
YALI0A04983g	YAL022C	y002176	trans-2-enoyl-CoA reductase (n-C16:0CoA)	H+[erm] + NADPH[erm] + trans-hexadec-2-enoyl-CoA[erm] --> palmitoyl-CoA[erm] + NADP(+)[erm]
YALI0A05379g	YAL023C	y000066	4-amino-4-deoxychorismate synthase	chorismate[c] + L-glutamine[c] --> 4-amino-4-deoxychorismate[c] + L-glutamate[c]
YALI0A06655g	YAL038W	y002223	fatty acyl-CoA transport via ABC system (C18:0)	ATP[c] + H2O[c] + stearoyl-CoA[c] --> ADP[c] + H+[c] + phosphate[c] + stearoyl-CoA[p]
YALI0A06655g	YAL038W	y002219	fatty acyl-CoA transport via ABC system (C12:0)	ATP[c] + H2O[c] + lauroyl-CoA[c] --> ADP[c] + H+[c] + lauroyl-CoA[p] + phosphate[c]
YALI0A06655g	YAL038W	y300014	fatty acyl-CoA transport via ABC system (C18:2)	linoleoyl-CoA[c] + ATP[c] + H2O[c] --> linoleoyl-CoA[p] + ADP[c] + H+[c] + phosphate[c]
YALI0A06655g	YAL038W	y002220	fatty acyl-CoA transport via ABC system (C14:0)	ATP[c] + H2O[c] + myristoyl-CoA[c] --> ADP[c] + H+[c] + myristoyl-CoA[p] + phosphate[c]
YALI0A06655g	YAL038W	y002224	fatty acyl-CoA transport via ABC system (C18:1)	ATP[c] + H2O[c] + oleoyl-CoA[c] --> ADP[c] + H+[c] + oleoyl-CoA[p] + phosphate[c]
YALI0A06655g	YAL038W	y002221	fatty acyl-CoA transport via ABC system (C16:0)	ATP[c] + H2O[c] + palmitoyl-CoA[c] --> ADP[c] + H+[c] + palmitoyl-CoA[p] + phosphate[c]
YALI0A06655g	YAL038W	y002225	fatty acyl-CoA transport via ABC system (C20:0)	ATP[c] + H2O[c] + icosanoyl-CoA[c] --> ADP[c] + H+[c] + phosphate[c] + icosanoyl-CoA[p]
YALI0A06655g	YAL038W	y002226	fatty acyl-CoA transport via ABC system (C22:0)	ATP[c] + H2O[c] + docosanoyl-CoA[c] --> ADP[c] + H+[c] + phosphate[c] + docosanoyl-CoA[p]
YALI0A06655g	YAL038W	y002227	fatty acyl-CoA transport via ABC system (C24:0)	ATP[c] + H2O[c] + tetracosanoyl-CoA[c] --> ADP[c] + H+[c] + phosphate[c] + tetracosanoyl-CoA[p]
YALI0A06655g	YAL038W	y002228	fatty acyl-CoA transport via ABC system (C26:0)	ATP[c] + H2O[c] + hexacosanoyl-CoA[c] --> ADP[c] + H+[c] + hexacosanoyl-CoA[p] + phosphate[c]
YALI0A06655g	YAL038W	y002222	fatty acyl-CoA transport via ABC system (C16:1)	ATP[c] + H2O[c] + palmitoleoyl-CoA[c] --> ADP[c] + H+[c] + phosphate[c] + palmitoleoyl-CoA[p]
YALI0A06787g	YAL044C	y002166	B-ketoacyl-CoA reductase (3-hydroxytetracosanoyl-CoA)	H+[erm] + 3-oxotetracosanoyl-CoA[erm] + NADPH[erm] --> NADP(+)[erm] + 3-hydroxytetracosanoyl-CoA[erm]
YALI0A06787g	YAL044C	y002162	B-ketoacyl-CoA reductase ((S)-3-hydroxypalmitoyl-CoA)	H+[erm] + 3-oxopalmitoyl-CoA[erm] + NADPH[erm] --> NADP(+)[erm] + (S)-3-hydroxypalmitoyl-CoA[erm]
YALI0A06787g	YAL044C	y002163	B-ketoacyl-CoA reductase (3-hydroxyoctadecanoyl-CoA)	H+[erm] + 3-oxooctadecanoyl-CoA[erm] + NADPH[erm] --> NADP(+)[erm] + 3-hydroxyoctadecanoyl-CoA[erm]
YALI0A06787g	YAL044C	y002165	B-ketoacyl-CoA reductase (3-hydroxydocosanoyl-CoA)	H+[erm] + 3-oxodocosanoyl-CoA[erm] + NADPH[erm] --> NADP(+)[erm] + 3-hydroxydocosanoyl-CoA[erm]
YALI0A06787g	YAL044C	y002161	B-ketoacyl-CoA reductase ((S)-3-hydroxytetradecanoyl-CoA)	H+[erm] + 3-oxotetradecanoyl-CoA[erm] + NADPH[erm] --> NADP(+)[erm] + (S)-3-hydroxytetradecanoyl-CoA[erm]
YALI0A06787g	YAL044C	y002167	B-ketoacyl-CoA reductase ((S)-3-hydroxyhexacosanoyl-CoA)	H+[erm] + 3-oxohexacosanoyl-CoA[erm] + NADPH[erm] --> NADP(+)[erm] + (S)-3-hydroxyhexacosanoyl-CoA[erm]
YALI0A06787g	YAL044C	y002164	B-ketoacyl-CoA reductase (3-hydroxyicosanoyl-CoA)	H+[erm] + 3-oxoicosanoyl-CoA[erm] + NADPH[erm] --> NADP(+)[erm] + 3-hydroxyicosanoyl-CoA[erm]
YALI0A07579g	YAL062W	y001102	5-aminolevulinate transport	5-aminolevulinate[e] + H+[e] --> 5-aminolevulinate[c] + H+[c]
YALI0A07579g	YAL062W	y001101	4-aminobutyrate transport	gamma-aminobutyrate[e] + H+[e] --> gamma-aminobutyrate[c] + H+[c]
YALI0A07579g	YAL062W	y001104	8-Amino-7-oxononanoate transport	8-amino-7-oxononanoate[e] + H+[e] <=> 8-amino-7-oxononanoate[c] + H+[c]
YALI0A08041g	YAR015W	y000035	3',5'-cyclic-nucleotide phosphodiesterase	3',5'-cyclic IMP[c] + H2O[c] --> H+[c] + IMP[c]
YALI0A08041g	YAR015W	y000036	3',5'-cyclic-nucleotide phosphodiesterase	3',5'-cyclic GMP[c] + H2O[c] --> GMP[c] + H+[c]
YALI0A08041g	YAR015W	y000037	3',5'-cyclic-nucleotide phosphodiesterase	3',5'-cyclic CMP[c] + H2O[c] --> CMP[c] + H+[c]
YALI0A08041g	YAR015W	y000033	3',5'-cyclic-nucleotide phosphodiesterase	3',5'-cyclic AMP[c] + H2O[c] --> AMP[c] + H+[c]
YALI0A08041g	YAR015W	y000034	3',5'-cyclic-nucleotide phosphodiesterase	3',5'-cyclic dAMP[c] + H2O[c] --> dAMP[c] + H+[c]
YALI0A08668g	YAR035W	y002029	pyridoxine kinase	ATP[c] + pyridoxine[c] --> ADP[c] + H+[c] + pyridoxine 5'-phosphate[c]
YALI0A09427g	YBL011W	y001042	threonyl-tRNA synthetase	ATP[c] + L-threonine[c] + tRNA(Thr)[c] --> AMP[c] + diphosphate[c] + Thr-tRNA(Thr)[c]
YALI0A09427g	YBL011W	y001043	threonyl-tRNA synthetase	ATP[m] + L-threonine[m] + tRNA(Thr), mitchondrial[m] --> AMP[m] + diphosphate[m] + Thr-tRNA(Thr)[m]
YALI0A09636g	YBL013W	y000782	nicotinamide N-methyltransferase	nicotinamide[c] + S-adenosyl-L-methionine[c] --> 1-methylnicotinamide[c] + S-adenosyl-L-homocysteine[c]
YALI0A09856g	YBL015W	y000507	glycine-cleavage complex (lipoylprotein)	S(8)-aminomethyldihydrolipoylprotein[m] + THF[m] --> 5,10-methylenetetrahydrofolate[m] + ammonium[m] + dihydrolipoylprotein[m]
YALI0A09856g	YBL015W	y000506	glycine-cleavage complex (lipoylprotein)	H+[m] + L-glycine[m] + lipoylprotein[m] --> carbon dioxide[m] + S(8)-aminomethyldihydrolipoylprotein[m]
YALI0A09856g	YBL015W	y000504	glycine-cleavage complex (lipoamide)	H+[m] + L-glycine[m] + lipoamide[m] --> carbon dioxide[m] + S(8)-aminomethyldihydrolipoamide[m]
YALI0A09856g	YBL015W	y001030	tetrahydrofolate aminomethyltransferase	5,10-methenyl-THF[m] + H2O[m] --> 5-formyltetrahydrofolic acid[m] + H+[m]
YALI0A09856g	YBL015W	y000508	glycine-cleavage complex (lipoylprotein)	dihydrolipoylprotein[m] + NAD[m] --> H+[m] + lipoylprotein[m] + NADH[m]
YALI0A09856g	YBL015W	y000509	glycine-cleavage system (lipoamide)	S(8)-aminomethyldihydrolipoamide[m] + THF[m] --> 5,10-methylenetetrahydrofolate[m] + ammonium[m] + dihydrolipoamide[m]
YALI0A09856g	YBL015W	y000505	glycine-cleavage complex (lipoamide)	dihydrolipoamide[m] + NAD[m] --> H+[m] + lipoamide[m] + NADH[m]
YALI0A09856g	YBL015W	y000501	glycine cleavage system	L-glycine[m] + NAD[m] + THF[m] --> 5,10-methylenetetrahydrofolate[m] + ammonium[m] + carbon dioxide[m] + NADH[m]
YALI0A09900g	YBL033C	y001086	V-ATPase, vacuole	ATP[c] + H+[c] + H2O[c] --> ADP[c] + 2.0 H+[v] + phosphate[c]
YALI0A09900g	YBL033C	y001085	V-ATPase, Golgi	ATP[c] + H+[c] + H2O[c] --> ADP[c] + 2.0 H+[g] + phosphate[c]
YALI0A10032g	YBL039C	y001031	tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming)	ATP[c] + L-glutamate[c] + THF[c] <=> 5,6,7,8-tetrahydrofolyl-L-glutamic acid[c] + ADP[c] + H+[c] + phosphate[c]
YALI0A10032g	YBL039C	y000346	dihydrofolate synthase	7,8-dihydropteroate[c] + ATP[c] + L-glutamate[c] --> ADP[c] + dihydrofolic acid[c] + H+[c] + phosphate[c]
YALI0A10076g	YBL042C	y001012	squalene synthase	2.0 farnesyl diphosphate[c] + H+[c] + NADPH[c] --> 2.0 diphosphate[c] + NADP(+)[c] + squalene[c]
YALI0A10310g	YBL045C	y000524	GTP cyclohydrolase I	GTP[c] + H2O[c] --> 7,8-dihydroneopterin 3'-triphosphate[c] + formate[c] + H+[c]
YALI0A11143g	YBL064C	y001086	V-ATPase, vacuole	ATP[c] + H+[c] + H2O[c] --> ADP[c] + 2.0 H+[v] + phosphate[c]
YALI0A11143g	YBL064C	y001085	V-ATPase, Golgi	ATP[c] + H+[c] + H2O[c] --> ADP[c] + 2.0 H+[g] + phosphate[c]
YALI0A12045g	YBL068W	y000967	riboflavin synthase	2-hydroxy-3-oxobutyl phosphate[c] + 5-amino-6-(D-ribitylamino)uracil[c] --> 6,7-dimethyl-8-(1-D-ribityl)lumazine[c] + 2.0 H2O[c] + phosphate[c]
YALI0A13387g	YBL076C	y000211	asparagine synthase (glutamine-hydrolysing)	ATP[c] + H2O[c] + L-aspartate[c] + L-glutamine[c] --> AMP[c] + diphosphate[c] + H+[c] + L-asparagine[c] + L-glutamate[c]
YALI0A14157g	YBL098W	y102542	PGP phosphatase	3-(3-sn-phosphatidyl)-sn-glycerol 1-phosphate[mm] + H2O[mm] --> phosphatidylglycerol[mm] + phosphate[mm]
YALI0A14212g	YBL099W	y002079	trehalose transporter	H+[c] + trehalose[c] <=> H+[e] + trehalose[e]
YALI0A14212g	YBL099W	y001227	maltose transport	H+[e] + maltose[e] --> H+[c] + maltose[c]
YALI0A14212g	YBL099W	y001166	glucose transport	D-glucose[e] --> D-glucose[c]
YALI0A14498g	YBR002C	y000013	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	5-(methylsulfanyl)-2,3-dioxopentyl phosphate[c] + 3.0 H2O[c] --> 4-methylthio-2-oxobutanoate[c] + formate[c] + 6.0 H+[c] + phosphate[c]
YALI0A14784g	YBR003W	y001021	succinate dehydrogenase (ubiquinone-6)	succinate[m] + ubiquinone-6[m] <=> fumarate[m] + ubiquinol-6[m]
YALI0A15125g	YBR011C	y001244	phosphate transport	H+[e] + phosphate[e] <=> H+[c] + phosphate[c]
YALI0A15147g	YBR018C	y000183	aldehyde dehydrogenase (isobutyl alcohol, NAD)	H+[m] + isobutyraldehyde[m] + NADH[m] --> isobutanol[m] + NAD[m]
YALI0A15147g	YBR018C	y300025	long-chain aldehyde dehydrogenase (C10)	decanal[c] + H2O[c] + NAD[c] --> decanoate[c] + 2.0 H+[c] + NADH[c]
YALI0A15147g	YBR018C	y000170	aldehyde dehydrogenase (2-phenylethanol, NAD)	H+[m] + NADH[m] + phenylacetaldehyde[m] --> 2-phenylethanol[m] + NAD[m]
YALI0A15147g	YBR018C	y002115	alcohol dehydrogenase, (acetaldehyde to ethanol)	acetaldehyde[c] + H+[c] + NADH[c] --> ethanol[c] + NAD[c]
YALI0A15147g	YBR018C	y000166	aldehyde dehydrogenase (2-methylbutanol, NAD)	2-methylbutanal[c] + H+[c] + NADH[c] --> 2-methylbutanol[c] + NAD[c]
YALI0A15147g	YBR018C	y300026	long-chain aldehyde dehydrogenase (C12)	dodecanal[c] + H2O[c] + NAD[c] --> decanoate[c] + 2.0 H+[c] + NADH[c]
YALI0A15147g	YBR018C	y300006	long-chain alcohol dehydrogenase (C12)	dodecanol[c] + H2O[c] + 2.0 NAD[c] <=> dodecanal[c] + 2.0 H+[c] + 2.0 NADH[c]
YALI0A15147g	YBR018C	y000167	aldehyde dehydrogenase (2-methylbutanol, NAD)	2-methylbutanal[m] + H+[m] + NADH[m] --> 2-methylbutanol[m] + NAD[m]
YALI0A15147g	YBR018C	y300027	long-chain aldehyde dehydrogenase (C16)	decanal[c] + H2O[c] + NAD[c] --> decanoate[c] + 2.0 H+[c] + NADH[c]
YALI0A15147g	YBR018C	y000179	aldehyde dehydrogenase (isoamyl alcohol, NAD)	3-methylbutanal[c] + H+[c] + NADH[c] --> isoamylol[c] + NAD[c]
YALI0A15147g	YBR018C	y000186	aldehyde dehydrogenase (tryptophol, NAD)	H+[c] + indol-3-ylacetaldehyde[c] + NADH[c] --> NAD[c] + tryptophol[c]
YALI0A15147g	YBR018C	y000180	aldehyde dehydrogenase (isoamyl alcohol, NAD)	3-methylbutanal[m] + H+[m] + NADH[m] --> isoamylol[m] + NAD[m]
YALI0A15147g	YBR018C	y000187	aldehyde dehydrogenase (tryptophol, NAD)	H+[m] + indol-3-ylacetaldehyde[m] + NADH[m] --> NAD[m] + tryptophol[m]
YALI0A15147g	YBR018C	y300008	long-chain alcohol dehydrogenase (C16)	hexadecanol[c] + H2O[c] + 2.0 NAD[c] <=> hexadecanal[c] + 2.0 H+[c] + 2.0 NADH[c]
YALI0A15147g	YBR018C	y300004	long-chain alcohol dehydrogenase (C10)	decanol[c] + H2O[c] + 2.0 NAD[c] <=> decanal[c] + 2.0 H+[c] + 2.0 NADH[c]
YALI0A15147g	YBR018C	y000163	alcohol dehydrogenase (ethanol to acetaldehyde)	ethanol[c] + NAD[c] --> acetaldehyde[c] + H+[c] + NADH[c]
YALI0A15147g	YBR018C	y000182	aldehyde dehydrogenase (isobutyl alcohol, NAD)	H+[c] + isobutyraldehyde[c] + NADH[c] --> isobutanol[c] + NAD[c]
YALI0A15147g	YBR018C	y000165	mitochondrial alcohol dehydrogenase	acetaldehyde[m] + H+[m] + NADH[m] --> ethanol[m] + NAD[m]
YALI0A15147g	YBR018C	y000169	aldehyde dehydrogenase (2-phenylethanol, NAD)	H+[c] + NADH[c] + phenylacetaldehyde[c] --> 2-phenylethanol[c] + NAD[c]
YALI0A15972g	YBR019C	y000449	fructose-bisphosphatase	D-fructose 1,6-bisphosphate[c] + H2O[c] --> D-fructose 6-phosphate[c] + phosphate[c]
YALI0A16379g	YBR020W	y000183	aldehyde dehydrogenase (isobutyl alcohol, NAD)	H+[m] + isobutyraldehyde[m] + NADH[m] --> isobutanol[m] + NAD[m]
YALI0A16379g	YBR020W	y300025	long-chain aldehyde dehydrogenase (C10)	decanal[c] + H2O[c] + NAD[c] --> decanoate[c] + 2.0 H+[c] + NADH[c]
YALI0A16379g	YBR020W	y000170	aldehyde dehydrogenase (2-phenylethanol, NAD)	H+[m] + NADH[m] + phenylacetaldehyde[m] --> 2-phenylethanol[m] + NAD[m]
YALI0A16379g	YBR020W	y002115	alcohol dehydrogenase, (acetaldehyde to ethanol)	acetaldehyde[c] + H+[c] + NADH[c] --> ethanol[c] + NAD[c]
YALI0A16379g	YBR020W	y000166	aldehyde dehydrogenase (2-methylbutanol, NAD)	2-methylbutanal[c] + H+[c] + NADH[c] --> 2-methylbutanol[c] + NAD[c]
YALI0A16379g	YBR020W	y300026	long-chain aldehyde dehydrogenase (C12)	dodecanal[c] + H2O[c] + NAD[c] --> decanoate[c] + 2.0 H+[c] + NADH[c]
YALI0A16379g	YBR020W	y300006	long-chain alcohol dehydrogenase (C12)	dodecanol[c] + H2O[c] + 2.0 NAD[c] <=> dodecanal[c] + 2.0 H+[c] + 2.0 NADH[c]
YALI0A16379g	YBR020W	y000167	aldehyde dehydrogenase (2-methylbutanol, NAD)	2-methylbutanal[m] + H+[m] + NADH[m] --> 2-methylbutanol[m] + NAD[m]
YALI0A16379g	YBR020W	y300027	long-chain aldehyde dehydrogenase (C16)	decanal[c] + H2O[c] + NAD[c] --> decanoate[c] + 2.0 H+[c] + NADH[c]
YALI0A16379g	YBR020W	y000179	aldehyde dehydrogenase (isoamyl alcohol, NAD)	3-methylbutanal[c] + H+[c] + NADH[c] --> isoamylol[c] + NAD[c]
YALI0A16379g	YBR020W	y000186	aldehyde dehydrogenase (tryptophol, NAD)	H+[c] + indol-3-ylacetaldehyde[c] + NADH[c] --> NAD[c] + tryptophol[c]
YALI0A16379g	YBR020W	y000180	aldehyde dehydrogenase (isoamyl alcohol, NAD)	3-methylbutanal[m] + H+[m] + NADH[m] --> isoamylol[m] + NAD[m]
YALI0A16379g	YBR020W	y000187	aldehyde dehydrogenase (tryptophol, NAD)	H+[m] + indol-3-ylacetaldehyde[m] + NADH[m] --> NAD[m] + tryptophol[m]
YALI0A16379g	YBR020W	y300008	long-chain alcohol dehydrogenase (C16)	hexadecanol[c] + H2O[c] + 2.0 NAD[c] <=> hexadecanal[c] + 2.0 H+[c] + 2.0 NADH[c]
YALI0A16379g	YBR020W	y300004	long-chain alcohol dehydrogenase (C10)	decanol[c] + H2O[c] + 2.0 NAD[c] <=> decanal[c] + 2.0 H+[c] + 2.0 NADH[c]
YALI0A16379g	YBR020W	y000163	alcohol dehydrogenase (ethanol to acetaldehyde)	ethanol[c] + NAD[c] --> acetaldehyde[c] + H+[c] + NADH[c]
YALI0A16379g	YBR020W	y000182	aldehyde dehydrogenase (isobutyl alcohol, NAD)	H+[c] + isobutyraldehyde[c] + NADH[c] --> isobutanol[c] + NAD[c]
YALI0A16379g	YBR020W	y000165	mitochondrial alcohol dehydrogenase	acetaldehyde[m] + H+[m] + NADH[m] --> ethanol[m] + NAD[m]
YALI0A16379g	YBR020W	y000169	aldehyde dehydrogenase (2-phenylethanol, NAD)	H+[c] + NADH[c] + phenylacetaldehyde[c] --> 2-phenylethanol[c] + NAD[c]
YALI0A16863g	YBR021W	y001151	fadH2 transport	FADH2[m] --> FADH2[c]
YALI0A17468g	YBR023C	y000439	ubiquinol:ferricytochrome c reductase	2.0 ferricytochrome c[m] + 1.266 H+[m] + ubiquinol-6[m] --> 2.0 ferrocytochrome c[m] + 2.532 H+[c] + ubiquinone-6[m]
YALI0A18062g	YBR026C	y000233	C-22 sterol desaturase (NADP)	ergosta-5,7,24(28)-trien-3beta-ol[c] + H+[c] + NADPH[c] + oxygen[c] --> ergosta-5,7,22,24(28)-tetraen-3beta-ol[c] + 2.0 H2O[c] + NADP(+)[c]
YALI0A18183g	YBR029C	y001125	choline transport	choline[e] + H+[e] --> choline[c] + H+[c]
YALI0A19074g	YBR034C	y000463	glucan 1,4-alpha-glucosidase	glycogen[c] + H2O[c] --> D-glucose[c]
YALI0A19096g	YBR035C	y002148	3-hydroxyacyl-thioester dehydratase (trans-but-2-enoyl-ACP)	3-hydroxybutanoyl-ACP[m] <=> H2O[m] + trans-but-2-enoyl-ACP[m]
YALI0A19096g	YBR035C	y000721	malonyl-CoA-ACP transacylase	malonyl-CoA[m] + ACP1[m] <=> carboxyacetyl-ACP[m] + coenzyme A[m]
YALI0A19096g	YBR035C	y000099	acetyl-CoA ACP transacylase	acetyl-CoA[m] + ACP1[m] <=> acetyl-ACP[m] + coenzyme A[m]
YALI0A19096g	YBR035C	y002150	3-hydroxyacyl-thioester dehydratase (trans-oct-2-enoyl-ACP)	3-hydroxyoctanoyl-ACP[m] <=> H2O[m] + trans-oct-2-enoyl-ACP[m]
YALI0A19096g	YBR035C	y002149	3-hydroxyacyl-thioester dehydratase (trans-hex-2-enoyl-ACP)	3-hydroxyhexanoyl-ACP[m] <=> H2O[m] + trans-hex-2-enoyl-ACP[m]
YALI0A19206g	YBR038W	y000468	glutamate 5-kinase	ATP[c] + L-glutamate[c] --> ADP[c] + L-gamma-glutamyl phosphate[c]
YALI0A19558g	YBR039W	y001102	5-aminolevulinate transport	5-aminolevulinate[e] + H+[e] --> 5-aminolevulinate[c] + H+[c]
YALI0A19558g	YBR039W	y001101	4-aminobutyrate transport	gamma-aminobutyrate[e] + H+[e] --> gamma-aminobutyrate[c] + H+[c]
YALI0A19558g	YBR039W	y001104	8-Amino-7-oxononanoate transport	8-amino-7-oxononanoate[e] + H+[e] <=> 8-amino-7-oxononanoate[c] + H+[c]
YALI0A20108g	YBR041W	y000768	NAD synthase	ATP[c] + deamido-NAD(+)[c] + H2O[c] + L-glutamine[c] --> AMP[c] + diphosphate[c] + H+[c] + L-glutamate[c] + NAD[c]
YALI0A20108g	YBR041W	y000769	NAD synthase	ATP[n] + deamido-NAD(+)[n] + H2O[n] + L-glutamine[n] <=> AMP[n] + diphosphate[n] + H+[n] + L-glutamate[n] + NAD[n]
YALI0A20295g	YBR058C_A	y000155	ADP-ribose 2,3-cyclic phosphodiesterase	2',3'-cyclic AMP[c] + H+[c] + H2O[c] --> adenosine 2'-phosphate[c]
YALI0A20922g	YBR097W	y000519	GPI-anchor assembly, step 5	6-(alpha-D-glucosaminyl)-O-acyl-1-phosphatidyl-1D-myo-inositol[er] + dolichyl D-mannosyl phosphate[er] <=> 6-O-[alpha-D-mannosyl-(1-4)-alpha-D-glucosaminyl]-O-acyl-1-phosphatidyl-1D-myo-inositol [endoplasmic reticulum][er] + dolichyl phosphate[er]
YALI0A21153g	YBR110W	y000781	nicotinamidase	H2O[c] + nicotinamide[c] --> ammonium[c] + nicotinate[c]
YALI0A21263g	YBR115C	y000319	D-arabinono-1,4-lactone oxidase	D-arabinono-1,4-lactone[c] + oxygen[c] <=> dehydro-D-arabinono-1,4-lactone[c] + hydrogen peroxide[c]
YALI0A21307g	YBR117C	y001244	phosphate transport	H+[e] + phosphate[e] <=> H+[c] + phosphate[c]
YALI0A21417g	YBR126C	y000675	L-allo-threonine aldolase	L-allothreonine[c] --> acetaldehyde[c] + L-glycine[c]
YALI0A21417g	YBR126C	y001040	threonine aldolase	L-threonine[c] --> acetaldehyde[c] + L-glycine[c]
YALI0B00220g	YBR127C	y000775	NAPRtase	H+[m] + nicotinate[m] + PRPP[m] --> diphosphate[m] + nicotinic acid D-ribonucleotide[m]
YALI0B00220g	YBR127C	y000774	NAPRtase	H+[c] + nicotinate[c] + PRPP[c] --> diphosphate[c] + nicotinic acid D-ribonucleotide[c]
YALI0B00396g	YBR132C	y002079	trehalose transporter	H+[c] + trehalose[c] <=> H+[e] + trehalose[e]
