	ID	Matches	Reactions	Unnamed: 4	GeneId	RxnId	RxnName	RxnEqn
YALI0D23683g	G1FV3-28118	PWY2T-8	PYRUVDEH-RXN, RXN0-1133, DIHYDLIPACETRANS-RXN		YALI1_D30618g	PDHm	pyruvate dehydrogenase	coenzyme A[m] + NAD[m] + pyruvate[m] --> acetyl-CoA[m] + carbon dioxide[m] + NADH[m]
YALI0E00638g	G1FV3-24040	PWY2T-8	CITSYN-RXN		YALI1_E01019g	y000301	citrate synthase, peroxisomal	acetyl-CoA[p] + H2O[p] + oxaloacetate[p] --> citrate[p] + coenzyme A[p] + H+[p]
YALI0E00638g	G1FV3-24040	PWY2T-8	CITSYN-RXN		YALI1_E01019g	CSm	citrate synthase	acetyl-CoA[m] + H2O[m] + oxaloacetate[m] --> citrate[m] + coenzyme A[m] + H+[m]
YALI0E00638g	G1FV3-24040	PWY2T-8	CITSYN-RXN		YALI1_E01019g	MCITSm	2-methylcitrate synthase	H2O[m] + oxaloacetate[m] + propionyl-CoA[m] --> 2-methylcitrate[m] + coenzyme A[m] + H+[m]
YALI0E02684g	G1FV3-24134	PWY2T-8	CITSYN-RXN		YALI1_E03300g	y000301	citrate synthase, peroxisomal	acetyl-CoA[p] + H2O[p] + oxaloacetate[p] --> citrate[p] + coenzyme A[p] + H+[p]
YALI0E02684g	G1FV3-24134	PWY2T-8	CITSYN-RXN		YALI1_E03300g	CSm	citrate synthase	acetyl-CoA[m] + H2O[m] + oxaloacetate[m] --> citrate[m] + coenzyme A[m] + H+[m]
YALI0E02684g	G1FV3-24134	PWY2T-8	CITSYN-RXN		YALI1_E03300g	MCITSm	2-methylcitrate synthase	H2O[m] + oxaloacetate[m] + propionyl-CoA[m] --> 2-methylcitrate[m] + coenzyme A[m] + H+[m]
YALI0E05137g	G1FV3-24244	PWY2T-8	ISOCITRATE-DEHYDROGENASE-NAD+-RXN		YALI1_E06015g	ICDHxm	isocitrate dehydrogenase (NAD+)	isocitrate[m] + NAD[m] --> 2-oxoglutarate[m] + carbon dioxide[m] + NADH[m]
YALI0E06479g	G1FV3-24303	PWY2T-8	1TRANSKETO-RXN, 2TRANSKETO-RXN		YALI1_E07744g	TKT2	transketolase 2	D-erythrose 4-phosphate[c] + D-xylulose 5-phosphate[c] <=> D-fructose 6-phosphate[c] + glyceraldehyde 3-phosphate[c]
YALI0E06479g	G1FV3-24303	PWY2T-8	1TRANSKETO-RXN, 2TRANSKETO-RXN		YALI1_E07744g	TKT1	transketolase 1	ribose-5-phosphate[c] + D-xylulose 5-phosphate[c] <=> glyceraldehyde 3-phosphate[c] + sedoheptulose 7-phosphate[c]
YALI0E11671g	G1FV3-24535	PWY2T-8	6PGLUCONOLACT-RXN		YALI1_E14505g	PGL	6-phosphogluconolactonase	6-O-phosphono-D-glucono-1,5-lactone[c] + H2O[c] --> 6-phospho-D-gluconate[c] + H+[c]
YALI0E14190g	G1FV3-24647	PWY2T-8	MALATE-DEH-RXN		YALI1_E17214g	MDH	malate dehydrogenase, cytoplasmic	(S)-malate[c] + NAD[c] <=> H+[c] + NADH[c] + oxaloacetate[c]
YALI0E14190g	G1FV3-24647	PWY2T-8	MALATE-DEH-RXN		YALI1_E17214g	MDHm	malate dehydrogenase	(S)-malate[m] + NAD[m] <=> H+[m] + NADH[m] + oxaloacetate[m]
YALI0E14190g	G1FV3-24647	PWY2T-8	MALATE-DEH-RXN		YALI1_E17214g	y000715	malate dehydrogenase, peroxisomal	(S)-malate[p] + NAD[p] <=> H+[p] + NADH[p] + oxaloacetate[p]
YALI0E24013g	G1FV3-25089	PWY2T-8	SUCCINATE--COA-LIGASE-GDP-FORMING-RXN, RXN-8988, SUCCCOASYN-RXN		YALI1_E28575g	ITCOALm	itaconate-CoA ligase (ADP-forming)	ATP[m] + coenzyme A[m] + itaconate[m] <=> ADP[m] + itaconyl-CoA[m] + phosphate[m]
YALI0E24013g	G1FV3-25089	PWY2T-8	SUCCINATE--COA-LIGASE-GDP-FORMING-RXN, RXN-8988, SUCCCOASYN-RXN		YALI1_E28575g	y001022	succinate-CoA ligase (ADP-forming)	ADP[m] + phosphate[m] + succinyl-CoA[m] --> ATP[m] + coenzyme A[m] + succinate[m]
YALI0E26004g	G1FV3-25178	PWY2T-8	RXN-8631, F16ALDOLASE-RXN		YALI1_E30886g	FBA3	sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase	sedoheptulose 1,7-bisphosphate[c] <=> dihydroxyacetone phosphate[c] + D-erythrose 4-phosphate[c]
YALI0E26004g	G1FV3-25178	PWY2T-8	RXN-8631, F16ALDOLASE-RXN		YALI1_E30886g	FBA2	D-fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase	D-fructose 1-phosphate[c] <=> dihydroxyacetone phosphate[c] + D-glyceraldehyde[c]
YALI0E26004g	G1FV3-25178	PWY2T-8	RXN-8631, F16ALDOLASE-RXN		YALI1_E30886g	FBA	fructose-bisphosphate aldolase	D-fructose 1,6-bisphosphate[c] <=> dihydroxyacetone phosphate[c] + glyceraldehyde 3-phosphate[c]
YALI0E27005g	G1FV3-25225	PWY2T-8	PYRUVDEH-RXN, RXN0-1134, RXN-12583, RXN-12508		YALI1_E31947g	PDHm	pyruvate dehydrogenase	coenzyme A[m] + NAD[m] + pyruvate[m] --> acetyl-CoA[m] + carbon dioxide[m] + NADH[m]
YALI0E29667g	G1FV3-25349	PWY2T-8	RXN-14971, RXN-15378, SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN		YALI1_E35082g	SUCD2_u6m	succinate dehydrogenase (ubiquinone-6)	ubiquinone-6[m] + succinate[m] <=> fumarate[m] + ubiquinol-6[m]
YALI0F01584g	G1FV3-25684	PWY2T-8	TRIOSEPISOMERIZATION-RXN					
YALI0F01628g	G1FV3-25686	PWY2T-8	RIB5PISOM-RXN					
YALI0F05214g	G1FV3-25850	PWY2T-8	TRIOSEPISOMERIZATION-RXN		YALI1_F07847g	TPI	triose-phosphate isomerase	dihydroxyacetone phosphate[c] <=> glyceraldehyde 3-phosphate[c]
YALI0F07711g	G1FV3-25969	PWY2T-8	PGLUCISOM-RXN		YALI1_F11049g	PGI	glucose-6-phosphate isomerase	D-glucose 6-phosphate[c] <=> D-fructose 6-phosphate[c]
YALI0F09185g	G1FV3-26034	PWY2T-8	RXN-14117, RXN-14192, RXN-14207, PEPDEPHOS-RXN		YALI1_F12842g	PYK	pyruvate kinase	ADP[c] + H+[c] + phosphoenolpyruvate[c] --> ATP[c] + pyruvate[c]
YALI0F15587g	G1FV3-26320	PWY2T-8	TRANSALDOL-RXN		YALI1_F20914g	TALA	transaldolase	glyceraldehyde 3-phosphate[c] + sedoheptulose 7-phosphate[c] <=> D-erythrose 4-phosphate[c] + D-fructose 6-phosphate[c]
YALI0F16819g	G1FV3-26377	PWY2T-8	2PGADEHYDRAT-RXN		YALI1_F22436g	ENO	enolase	2-phospho-D-glyceric acid[c] <=> H2O[c] + phosphoenolpyruvate[c]
YALI0F20702g	G1FV3-26555	PWY2T-8	PYRUVDEH-RXN, RXN0-1134, RXN-12583, RXN-12508		YALI1_F27556g	PDHm	pyruvate dehydrogenase	coenzyme A[m] + NAD[m] + pyruvate[m] --> acetyl-CoA[m] + carbon dioxide[m] + NADH[m]
idp1	G1FV3-25800	PWY2T-8	ISOCITDEH-RXN, RXN-9951, RXN-8642					
mae1	G1FV3-24844	PWY2T-8	OXALODECARB-RXN, 1.1.1.39-RXN, MALIC-NADP-RXN					
zwf-1	G1FV3-25023	PWY2T-8	GLU6PDEHYDROG-RXN, RXN-14819					
