Gene	enzyme_activities
YALI0A19096g	0.0
YALI0D24629g	0.0
YALI0C19624g	0.0
YALI0F30679g	0.0
YALI0E18568g	0.0
YALI0E11099g	0.0
YALI0B08536g	0.0
YALI0C11407g	0.0
YALI0E30591g	0.0
YALI0E30965g	0.0
YALI0F05962g	0.531
YALI0B17666g	0.0
YALI0C06930g	0.0
YALI0F02497g	0.0
YALI0D22847g	0.0
YALI0D24750g	0.0
YALI0F06578g	0.0
YALI0C23793g	0.0
YALI0D05797g	0.0
YALI0F23463g	0.0
YALI0E11495g	0.0
YALI0F11759g	0.0
YALI0E20361g	0.0
YALI0C05709g	0.0
YALI0A08734g	0.0
YALI0B18759g	0.0
YALI0B00704g	0.531
YALI0F26521g	0.0
YALI0B17402g	0.0
YALI0E28963g	0.0
YALI0E00418g	0.0
YALI0A20295g	0.0
YALI0E16643g	0.0
YALI0B04180g	0.0
YALI0E17787g	1.449
YALI0A16379g	1.449
YALI0D25630g	1.449
YALI0A15147g	1.449
YALI0E07766g	1.449
YALI0C13508g	0.0
YALI0F06974g	0.0
YALI0B21780g	0.0
YALI0D04092g	0.0
YALI0D07634g	0.0
YALI0E18348g	0.0
YALI0F18590g	0.0
YALI0B07117g	0.0
YALI0C09119g	0.0
YALI0A15906g	0.0
YALI0F09603g	0.0
YALI0C03025g	0.531
YALI0F04444g	0.531
YALI0E00264g	0.531
YALI0D07942g	0.531
YALI0F16709g	0.0
YALI0D18337g	0.0
YALI0F23243g	0.0
YALI0E07271g	1.663
YALI0B14619g	0.0
YALI0E35156g	0.0
YALI0E01892g	0.0
YALI0F25817g	0.0
YALI0B01672g	0.0
YALI0A06589g	0.0
YALI0E07744g	0.0
YALI0D15598g	0.0
YALI0E31086g	0.0
YALI0E14685g	0.0
YALI0D14476g	0.0
YALI0F23441g	0.0
YALI0D27170g	0.0
YALI0E14751g	0.0
YALI0D11110g	0.0
YALI0E32736g	0.0
YALI0E07535g	0.0
YALI0D26367g	0.0
YALI0E17985g	0.0
YALI0A13387g	0.0
YALI0E05005g	0.0
YALI0E04939g	0.0
YALI0D07370g	0.0
YALI0C23969g	0.0
YALI0E09493g	0.0
YALI0D11704g	0.531
YALI0B02178g	0.531
YALI0F29337g	0.531
YALI0D13596g	0.531
YALI0D22264g	0.0
YALI0F26433g	0.0
YALI0F30349g	0.0
YALI0C05170g	0.0
YALI0F04774g	4.582
YALI0F03179g	4.582
YALI0E32164g	4.582
YALI0B06831g	4.582
YALI0F02893g	4.582
YALI0F20306g	4.582
YALI0D11814g	4.582
YALI0B03982g	4.582
YALI0D22022g	4.582
YALI0D17490g	4.582
YALI0D12584g	4.582
NP_075432	4.582
NP_075433	4.582
NP_075437	4.582
YALI0B22066g	0.0
YALI0E34133g	0.0
YALI0D15400g	0.0
YALI0B23298g	0.0
YALI0A18062g	0.0
YALI0C22165g	0.0
YALI0B17644g	0.0
YALI0F11297g	0.0
YALI0D20878g	0.0
YALI0B17204g	0.0
YALI0E32065g	0.0
YALI0D19206g	0.0
YALI0B16126g	0.0
YALI0D14762g	0.0
YALI0F23837g	0.0
YALI0F21197g	0.531
YALI0B10340g	0.531
YALI0E34749g	0.0
YALI0E34265g	0.0
YALI0F30987g	0.0
YALI0E14443g	0.0
YALI0E17347g	0.0
YALI0F12749g	0.0
YALI0F06424g	0.0
YALI0F30833g	0.0
YALI0E22198g	0.0
YALI0B16324g	0.0
YALI0D03179g	0.0
YALI0E10417g	0.0
YALI0D25938g	0.0
YALI0C24354g	0.0
YALI0F28655g	0.0
YALI0E16907g	0.0
YALI0D18271g	0.0
YALI0C10989g	0.0
YALI0E17479g	0.0
YALI0D17930g	0.0
YALI0D09361g	1.133
YALI0E14949g	1.133
YALI0C18799g	0.0
YALI0D17556g	0.0
YALI0E29975g	0.0
YALI0B05368g	0.0
YALI0D00605g	0.265
YALI0E09108g	0.265
YALI0F05874g	0.0
YALI0D17402g	0.0
YALI0D25168g	0.0
YALI0D15268g	0.0
YALI0D17072g	0.0
YALI0E31009g	0.0
YALI0D04422g	0.0
YALI0B05126g	0.0
YALI0F22517g	0.0
YALI0A21263g	0.0
YALI0F30811g	0.0
YALI0E26004g	1.0
YALI0E12463g	0.0
YALI0C23210g	0.0
YALI0C16434g	0.0
YALI0B00726g	0.0
YALI0B14927g	0.0
YALI0F09625g	0.0
YALIUNK1	0.0
YALI0E32769g	0.0
YALI0D27016g	0.0
YALI0B14531g	0.0
YALI0D20262g	0.0
YALI0C12771g	0.0
YALI0A10032g	0.0
YALI0E33495g	0.0
YALI0F22781g	0.0
YALI0C23408g	0.0
YALI0F09273g	0.0
YALI0E20691g	0.0
YALI0E05753g	0.0
YALI0B02728g	2.0
YALI0F17138g	0.0
YALI0E18942g	0.0
YALI0D06281g	0.0
YALI0C13354g	0.0
YALI0F19448g	0.0
YALI0F16819g	2.0
YALI0B07227g	0.0
YALI0B03564g	0.0
YALI0F05390g	0.0
YALI0B17996g	0.0
YALI0D17050g	0.0
YALI0E32835g	0.0
YALI0F22121g	0.0
YALI0F10857g	0.0
YALI0E06567g	0.0
YALI0C23859g	0.0
YALI0E27654g	0.0
YALI0E16016g	0.0
YALI0F19470g	0.0
YALI0F20504g	0.0
YALI0F03201g	3.612
NP_075434	3.612
YALI0F03567g	3.612
NP_075438	3.612
YALI0E19723g	3.612
YALI0D18568g	3.612
YALI0F04103g	3.612
YALI0E10144g	3.612
YALI0E16709g	3.612
YALI0F04114g	3.612
YALI0E12628g	3.612
YALI0A02915g	1.806
YALI0E34037g	1.806
NP_075443	1.806
YALI0A14806g	1.806
YALI0A17468g	1.806
YALI0C12210g	1.806
YALI0F01771g	1.806
YALI0F24673g	1.806
YALI0B01540g	1.806
YALI0F08613g	1.806
YALI0D25564g	0.0
YALI0E15840g	0.0
YALI0C08074g	0.0
YALI0F15983g	0.0
YALI0B19976g	0.0
YALI0E14256g	0.0
YALI0F28765g	0.0
YALI0C14344g	0.0
YALI0B22506g	0.0
YALI0A12353g	0.0
YALI0F13937g	0.0
YALI0F30745g	0.0
YALI0E01056g	0.0
YALI0E17633g	0.0
YALI0A15972g	0.0
YALI0C06776g	0.0
YALI0D18920g	0.0
YALI0C11363g	0.0
YALI0C13090g	0.0
YALI0F23947g	0.0
YALI0E30129g	0.0
YALI0A19074g	0.0
YALI0E05203g	0.0
YALI0E22649g	0.0
YALI0F07711g	1.0
YALI0A19206g	0.0
YALI0F08415g	0.0
YALI0E09603g	0.0
YALI0F17820g	0.0
YALI0B19998g	0.531
YALI0E30481g	0.0
YALI0F00506g	0.531
YALI0B21428g	0.0
YALI0C03674g	0.0
YALI0E28468g	0.0
YALI0E17919g	0.0
YALI0B13398g	0.0
YALI0E18029g	0.0
YALI0C05467g	0.0
YALI0F21219g	0.0
YALI0E02310g	0.0
YALI0C17831g	0.0
YALI0C06369g	2.0
YALI0F00484g	0.0
YALI0B13970g	0.0
YALI0B02948g	0.0
YALI0C00209g	0.0
YALI0E32791g	0.0
YALI0D03069g	0.0
YALI0A09856g	0.265
YALI0F02849g	0.265
YALI0D20768g	0.867
YALI0E00242g	0.265
YALI0E16346g	0.265
YALI0D22484g	0.265
YALI0F18502g	0.0
YALI0F08723g	0.0
YALI0C21065g	0.0
YALI0F04169g	0.0
YALI0E14597g	0.0
YALI0B16104g	0.0
YALI0E21934g	0.0
YALI0A20922g	0.0
YALI0E17391g	0.0
YALI0F20570g	0.0
YALI0F11649g	0.0
YALI0D04202g	0.0
YALI0E03960g	0.0
YALI0E12089g	0.0
YALI0A10310g	0.0
YALI0E02288g	0.0
YALI0E25740g	0.0
YALI0E16753g	0.0
YALI0B02222g	0.0
YALI0B14839g	0.0
YALI0F23727g	0.0
YALI0B22308g	1.0
YALI0E15488g	1.0
YALI0A15950g	0.0
YALI0E05049g	0.0
YALI0E01254g	0.0
YALI0E13123g	0.0
YALI0E18282g	0.0
YALI0F31075g	0.0
YALI0F25641g	0.0
YALI0D10593g	0.0
YALI0D01089g	0.531
YALI0F13453g	0.531
YALI0E00836g	0.0
YALI0B15125g	0.0
YALI0E31647g	0.0
YALI0F08195g	0.0
YALI0F01496g	0.0
YALI0E25091g	0.0
YALI0D06974g	0.0
YALI0F05610g	0.0
YALI0C15554g	0.0
YALI0F26609g	0.0
YALI0E04807g	0.0
YALI0F30481g	0.0
YALI0E04224g	0.0
YALI0C07128g	0.0
YALI0E33957g	0.0
YALI0D21530g	0.0
YALI0F13541g	0.531
YALI0C11803g	0.531
YALI0D24409g	0.0
YALI0E07161g	0.0
YALI0B11286g	0.0
YALI0E16434g	0.0
YALI0D18458g	0.0
YALI0E05137g	0.0
YALI0D06303g	0.0
YALI0F04095g	0.0
YALI0C16885g	0.0
YALI0F31999g	0.0
YALI0A00264g	0.0
YALI0C10780g	0.0
YALI0F04015g	0.0
YALI0D04741g	0.0
YALI0E24013g	0.0
YALI0D09867g	0.0
YALI0D06325g	0.0
YALI0A21417g	0.531
YALI0C07414g	0.0
YALI0E09306g	0.0
YALI0E06457g	0.0
YALI0B14399g	0.0
YALI0D08778g	0.0
YALI0F09097g	0.0
YALI0D11616g	0.0
YALI0B08052g	0.0
YALI0D07062g	0.0
YALI0C20251g	0.0
YALI0D12386g	0.0
YALI0F24937g	0.0
YALI0E10307g	0.0
YALI0D02497g	0.0
YALI0F26455g	0.0
YALI0E24057g	0.0
YALI0F04378g	0.0
YALI0E24607g	0.0
YALI0F02299g	0.0
YALI0F00396g	0.0
YALI0F16291g	0.0
YALI0D23639g	0.0
YALI0D16753g	1.663
YALI0E14190g	3.327
YALI0E15708g	0.0
YALI0D19140g	0.0
YALI0E18634g	0.0
YALI0C06490g	0.0
YALI0B18348g	0.0
YALI0B14509g	0.0
YALI0F06820g	0.0
YALI0F29843g	0.0
YALI0D03619g	0.0
YALI0B12078g	0.0
YALI0B16038g	0.0
YALI0F05632g	0.0
YALI0D04378g	0.0
YALI0B04312g	0.0
YALI0D20152g	0.0
YALI0E13057g	0.0
YALI0E03806g	0.0
YALI0C06732g	0.0
YALI0F08283g	0.0
YALI0E27874g	0.0
YALI0E23991g	0.0
YALI0E17963g	0.0
YALI0C23034g	0.0
YALI0F11583g	0.0
YALI0A20108g	0.0
YALI0F25135g	0.0
YALI0B00220g	0.0
YALI0A21153g	0.0
YALI0A09636g	0.0
YALI0E25652g	0.0
YALI0E07073g	0.0
YALI0C19712g	0.0
YALI0C17941g	0.0
YALI0F09229g	0.0
YALI0D14894g	0.0
YALI0B11330g	0.0
YALI0C04433g	0.0
YALI0F21527g	0.0
YALI0E26741g	0.0
YALI0E16929g	0.0
YALI0E33517g	0.0
YALI0D19426g	0.0
YALI0D25476g	0.0
YALI0B06006g	0.0
YALI0F14729g	0.0
YALI0E22979g	0.0
YALI0D16643g	0.0
YALI0C18535g	0.0
YALI0F21010g	0.0
YALI0E12441g	0.0
YALI0E06061g	0.0
YALI0E14102g	0.0
YALI0E15180g	0.0
YALI0B02376g	0.0
YALI0F20328g	0.0
YALI0F23573g	0.0
YALI0D21604g	0.0
YALI0D03480g	0.0
YALI0D08514g	0.0
YALI0E29579g	0.0
YALI0B08140g	0.0
YALI0C16995g	0.0
YALI0C06303g	0.0
YALI0D16357g	1.0
YALI0E02090g	0.0
YALI0B15598g	0.0
YALI0F09966g	0.0
YALI0D12400g	2.0
YALI0E18898g	0.0
YALI0D13112g	0.0
YALI0E06193g	0.0
YALI0C06996g	0.0
YALI0E06413g	0.0
YALI0C06281g	0.0
YALI0E02244g	0.0
YALI0E33033g	0.0
YALI0B23188g	0.0
YALI0B07667g	0.0
YALI0B15304g	0.0
YALI0F25047g	0.0
YALI0E32351g	0.0
YALI0B13552g	0.0
YALI0B00836g	0.0
YALI0B20438g	0.0
YALI0F06468g	0.0
YALI0E28237g	0.0
YALI0E33774g	0.0
YALI0F09559g	0.0
YALI0B23430g	0.0
YALI0F20790g	0.0
YALI0B17336g	0.0
YALI0F17644g	0.0
YALI0B09625g	0.0
YALI0E05027g	0.0
YALI0D23331g	0.0
YALI0F30129g	0.0
YALI0F03597g	0.0
YALI0D14322g	0.0
YALI0C24101g	1.663
YALI0B09845g	0.602
YALI0E27005g	0.602
YALI0F20702g	0.602
YALI0D23683g	0.602
YALI0F09185g	2.0
YALI0F12089g	0.0
YALI0E25069g	0.0
YALI0B01826g	0.0
YALI0A12045g	0.0
YALI0C01111g	0.0
YALI0F31735g	0.0
YALI0B03630g	0.0
YALI0D03333g	0.0
YALI0B06941g	0.0
YALI0B14729g	0.0
YALI0C11880g	0.0
YALI0F08701g	0.0
YALI0C20405g	0.0
YALI0B15444g	0.0
YALI0D22891g	0.0
YALI0F15345g	0.0
YALI0C03179g	0.0
YALI0B05918g	0.0
YALI0F02629g	0.0
YALI0E11385g	0.0
YALI0E04763g	0.0
YALI0E33143g	0.0
YALI0E21197g	0.0
YALI0B11154g	0.0
YALI0E15730g	0.0
YALI0A10076g	0.0
YALI0D11374g	0.0
YALI0A14784g	0.0
YALI0E29667g	0.0
YALI0D23397g	0.0
YALI0F26191g	0.0
YALI0E26719g	0.0
YALI0B08184g	0.0
YALI0D11176g	0.0
YALI0E16368g	0.0
YALI0E14234g	0.0
YALI0F22825g	0.0
YALI0E24497g	0.0
YALI0E21351g	0.0
YALI0E19448g	0.0
YALI0D27126g	0.0
YALI0A09427g	0.0
YALI0F11231g	0.0
YALI0C10901g	0.0
YALI0C18755g	0.0
YALI0F15587g	0.0
YALI0E06479g	0.0
YALI0F05214g	1.0
YALI0F24893g	0.0
YALI0B08943g	0.0
YALI0C18425g	0.0
YALI0A02453g	0.0
YALI0C15224g	0.0
YALI0E29139g	0.0
YALI0D18403g	0.0
YALI0E03146g	0.0
YALI0E26829g	0.0
YALI0F09339g	0.0
YALI0F31273g	0.0
YALI0F06710g	0.0
YALI0C01716g	0.0
YALI0A01133g	0.0
YALI0F09449g	0.0
YALI0A02310g	0.0
YALI0D00583g	0.0
YALI0E08617g	0.0
YALI0E16192g	0.0
YALI0F15631g	0.0
YALI0F16181g	0.0
YALI0A09900g	0.0
YALI0E27346g	0.0
YALI0E09933g	0.0
YALI0F24475g	0.0
YALI0F09405g	0.0
YALI0E31471g	0.0
YALI0A11143g	0.0
YALI0E11355g	0.0
YALI0F20218g	0.0
YALI0F10923g	0.0
YALI0D25234g	0.0
YALI0F18216g	0.0
YALI0C12749g	0.0
YALI0D02629g	0.531
YALI0B09537g	0.0
YALI0A03135g	0.0
YALI0F01078g	0.0
YALI0E07205g	0.0
YALI0D15422g	0.0
YALI0A07579g	0.0
YALI0D00495g	0.0
YALI0A19558g	0.0
YALI0D17688g	0.0
YALI0E18139g	0.0
YALI0F16225g	0.0
YALI0E27291g	0.0
YALI0C23298g	0.0
YALI0F13145g	0.0
YALI0E12837g	0.0
YALI0C23617g	0.0
YALI0D07392g	0.0
YALI0F30569g	0.0
YALI0C23342g	0.0
YALI0A10659g	4.582
YALI0D08228g	4.582
YALI0F19712g	4.582
YALI0E03058g	0.0
YALI0B10736g	0.0
YALI0D13970g	0.0
YALI0D05819g	0.0
YALI0C16907g	0.0
YALI0F16423g	0.0
YALI0C13574g	0.0
YALI0D05621g	0.0
YALI0F16896g	0.0
YALI0E27203g	0.0
YALI0F12925g	0.0
YALI0D26147g	0.531
YALI0C17303g	0.0
YALI0C17281g	0.0
YALI0C00627g	0.0
YALI0C02431g	0.531
YALI0A18183g	0.0
YALI0F26323g	0.0
YALI0F15433g	0.0
YALI0F05500g	0.0
YALI0F19184g	1.0
YALI0E32901g	0.0
YALI0D24607g	0.0
YALI0C15488g	0.0
YALI0C21406g	0.0
YALI0D20108g	0.0
YALI0B12980g	0.0
YALI0C20265g	0.0
YALI0D25828g	0.0
YALI0B02544g	0.0
YALI0F17996g	0.0
YALI0E14729g	0.0
YALI0A16863g	0.0
YALI0F21791g	0.0
YALI0B00396g	1.0
YALI0A14212g	1.0
YALI0C22616g	0.0
YALI0D08382g	0.0
YALI0E30283g	0.0
YALI0E05665g	0.0
YALI0F00462g	0.0
YALI0F19866g	0.0
YALI0B19492g	0.0
YALI0B19800g	0.0
YALI0C17237g	0.0
YALI0B16522g	0.0
YALI0E10219g	0.0
YALI0C00451g	0.0
YALI0C09889g	0.0
YALI0C14498g	0.0
YALI0F23903g	0.0
YALI0B19338g	0.0
YALI0F30063g	0.0
YALI0E10637g	0.0
YALI0D11836g	0.0
YALI0E20713g	0.0
YALI0C07678g	0.0
YALI0F25795g	0.0
YALI0B03344g	0.0
YALI0E16478g	0.0
YALI0F21109g	0.0
YALI0D10043g	0.0
YALI0F28193g	0.0
YALI0D12100g	0.0
YALI0F28369g	0.0
YALI0E20273g	0.0
YALI0E20471g	0.0
YALI0E27247g	0.0
YALI0F05984g	0.0
YALI0C02783g	0.0
YALI0F19536g	0.0
YALI0C08569g	0.0
YALI0D06798g	0.0
YALI0A20988g	0.0
YALI0E04048g	0.0
YALI0F06842g	0.0
YALI0A21307g	0.0
YALI0E31064g	0.0
YALI0E23859g	0.0
YALI0A15125g	0.0
YALI0F14223g	3.521
YALI0C05753g	3.521
YALI0E28153g	0.0
YALI0B17864g	0.0
YALI0A15576g	0.0
YALI0F07062g	0.0
YALI0C19195g	0.0
YALI0C00759g	0.0
YALI0E02156g	0.0
YALI0B04202g	0.0
YALI0C15807g	0.0
YALI0B21142g	0.0
YALI0E34672g	0.0
YALI0B17930g	0.0
YALI0E24167g	0.0
YALI0F20262g	0.0
YALI0D19756g	0.0
YALI0E22957g	0.0
YALI0F01210g	4.867
YALI0A08668g	0.0
YALI0C03223g	0.602
YALI0F00264g	0.602
YALI0C05258g	0.0
YALI0D09229g	0.0
YALI0B19382g	0.0
YALI0B15059g	0.0
YALI0C19965g	0.0
YALI0D05929g	0.0
YALI0B20196g	0.0
YALI0A06787g	0.0
YALI0F11935g	0.0
YALI0A04983g	0.0
YALI0C05951g	0.0
YALI0D17864g	0.0
YALI0D04246g	0.0
YALI0A06655g	0.0
YALI0D27654g	0.0
YALI0E14322g	0.0
YALI0D01694g	0.0
YALI0C03003g	0.0
YALI0E32035g	0.0
YALI0E00528g	0.0
YALI0F02937g	0.0
YALI0F19052g	0.0
YALI0A14157g	0.0
YALI0D17842g	0.0
YALI0C14036g	0.0
YALI0E16797g	0.0
YALI0B11044g	0.0
YALI0B01771g	0.0
YALI0E22462g	0.0
YALI0D08206g	0.0
YALI0E16060g	0.0
YALI0C04180g	0.0
YALI0F08217g	0.0
YALI0D06413g	0.0
YALI0D05995g	0.0
YALI0F12177g	0.0
YALI0B22682g	0.0
YALI0E33099g	0.0
YALI0D16379g	0.0
YALI0E31515g	0.0
YALI0C14520g	0.0
YALI0B16192g	0.0
YALI0E34793g	0.0
YALI0D24431g	0.0
YALI0A20350g	0.0
YALI0B09361g	0.0
YALI0D19184g	0.0
YALI0C22088g	0.0
YALI0C19866g	0.0
YALI0A08217g	0.0
YALI0D02321g	0.0
YALI0F07821g	0.0
YALI0F26125g	0.0
YALI0E25982g	0.0
YALI0B13816g	0.0
YALI0E07787g	0.0
YALI0E15818g	0.0
YALI0D02167g	0.0
YALI0B01848g	0.0
YALI0F01320g	0.0
YALI0C04092g	0.0
YALI0B14014g	0.0
YALI0A06974g	0.0
YALI0F09251g	0.0
YALI0F22605g	0.0
YALI0A01111g	0.0
YALI0B21846g	0.0
YALI0F05038g	0.0
YALI0D23815g	0.0
YALI0D08690g	0.0
YALI0D12573g	0.0
YALI0B22550g	0.0
YALI0F23749g	0.0
YALI0B10406g	0.0
YALI0C08811g	0.0
YALI0D18381g	0.0
YALI0F01672g	0.0
YALI0B14289g	0.0
YALI0E02398g	0.0
YALI0F26587g	0.0
YALI0B22924g	0.0
YALI0C16753g	0.0
YALI0C20669g	0.0
YALI0B19360g	0.0
YALI0B16214g	0.0
YALI0E20207g	0.0
YALI0E20163g	0.0
MttA	1.133
CAD1	1.133
